repository_name,open_bug_count
facebook/react,5
facebook/react-native,0
facebook/create-react-app,2
facebook/react-devtools,0
facebook/react-native-website,0
facebook/metro,2
facebook/componentkit,0
facebook/hermes,0
facebook/relay,2
facebook/react-strict-dom,0
facebook/prop-types,0
facebook/docusaurus,0
facebook/react-native-deprecated-modules,0
facebook/react-native-cdp-status,0
